CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study
Exc_L5-6_THEMIS_FGF10,2,0.9843,0.7543195055696807,-1.781571327295154,UMI:Endo,AIBS2019
Exc_L6_FEZF2_OR2T8,2,0.7662,0.8645957839437987,-0.7103870380663243,UMI:Endo,AIBS2019
Exc_L6_FEZF2_SCUBE1,2,0.9898,0.6981219433973109,-1.4415521447012365,UMI:Endo,AIBS2019
Inh_L1-2_GAD1_MC4R,2,0.9559,0.7766442269591507,-1.2429605095989724,UMI:Endo,AIBS2019
Inh_L1-2_LAMP5_DBP,2,0.8829,0.7888604687401704,-1.0433688024597385,UMI:Endo,AIBS2019
Inh_L1-2_PAX6_CDH12,2,0.9994,0.64855737730641,-1.7032173887992499,UMI:Endo,AIBS2019
Inh_L1-2_PAX6_TNFAIP8L3,2,0.9949,0.6288268664764123,-1.5520076597298869,UMI:Endo,AIBS2019
Inh_L1-2_SST_BAGE2,2,0.9996,0.632144416598425,-2.3429086918304796,UMI:Endo,AIBS2019
Inh_L1-2_VIP_LBH,2,1,0.6218882300758959,-2.539862711670062,UMI:Endo,AIBS2019
Inh_L1-2_VIP_PCDH20,2,0.9489,0.761385295884873,-1.1104447257221408,UMI:Endo,AIBS2019
Inh_L1-2_VIP_TSPAN12,2,0.904,0.8056768488879015,-0.9834006815657055,UMI:Endo,AIBS2019
Inh_L1-3_PAX6_SYT6,2,0.8495,0.82532238800899,-0.772940425962276,UMI:Endo,AIBS2019
Inh_L1-3_SST_CALB1,2,0.9941,0.7493708335294834,-1.8983980526502606,UMI:Endo,AIBS2019
Inh_L1-3_VIP_ADAMTSL1,2,0.9997,0.6520126937091554,-2.2438997434398056,UMI:Endo,AIBS2019
Inh_L1-3_VIP_CCDC184,2,0.9999,0.5804247262157726,-2.65222185561637,UMI:Endo,AIBS2019
Inh_L1-3_VIP_CHRM2,2,0.9975,0.7237241557964375,-1.8810262436887422,UMI:Endo,AIBS2019
Inh_L1-3_VIP_GGH,2,0.9264,0.799268778349781,-1.130766047135762,UMI:Endo,AIBS2019
Inh_L1-4_LAMP5_LCP2,2,0.9536,0.8197308051382457,-1.5075362846075164,UMI:Endo,AIBS2019
Inh_L1-4_VIP_CHRNA6,2,0.9959,0.6144083216197057,-1.763687697297382,UMI:Endo,AIBS2019
Inh_L1-4_VIP_OPRM1,2,0.9986,0.6425313604554811,-1.7512396329903204,UMI:Endo,AIBS2019
Inh_L1-4_VIP_PENK,2,0.6676,0.8847553076862289,-0.5136965069956698,UMI:Endo,AIBS2019
Inh_L1_SST_CHRNA4,2,0.9872,0.7006133253844764,-1.479794075161172,UMI:Endo,AIBS2019
Inh_L1_SST_NMBR,2,1,0.6399549179534717,-2.6799484507351505,UMI:Endo,AIBS2019
Inh_L2-3_VIP_CASC6,2,0.9995,0.6770940084675107,-2.3600309712488166,UMI:Endo,AIBS2019
Inh_L2-4_PVALB_WFDC2,2,0.9794,0.8121751939869793,-1.8573799067962031,UMI:Endo,AIBS2019
Inh_L2-4_SST_FRZB,2,0.9562,0.8016037193498151,-1.3967225393711642,UMI:Endo,AIBS2019
Inh_L2-4_VIP_CBLN1,2,0.9989,0.622259707146383,-1.7410870506004847,UMI:Endo,AIBS2019
Inh_L2-4_VIP_SPAG17,2,0.9566,0.7318690562923442,-1.1455714713469216,UMI:Endo,AIBS2019
Inh_L2-5_PVALB_SCUBE3,2,0.393,1.0029783368664313,0.013459623310224099,UMI:Endo,AIBS2019
Inh_L2-5_VIP_SERPINF1,2,0.9838,0.7151249287727401,-1.4965808360436275,UMI:Endo,AIBS2019
Inh_L2-5_VIP_TYR,2,0.9746,0.7343883488964047,-1.21031013145495,UMI:Endo,AIBS2019
Inh_L2-6_LAMP5_CA1,2,0.9848,0.7663568233016682,-1.5757312574850544,UMI:Endo,AIBS2019
Inh_L2-6_VIP_QPCT,2,0.9143,0.7994203480421423,-1.0606056702749354,UMI:Endo,AIBS2019
Inh_L3-5_SST_ADGRG6,2,0.9976,0.7074364122188443,-2.0159976851420236,UMI:Endo,AIBS2019
Inh_L3-6_SST_HPGD,2,0.7431,0.8927883701629948,-0.5649572012528475,UMI:Endo,AIBS2019
Inh_L3-6_SST_NPY,2,0.693,0.8404035575933194,-0.5489425541720984,UMI:Endo,AIBS2019
Inh_L3-6_VIP_HS3ST3A1,2,0.9981,0.66842989096282035,-1.6482225861385158,UMI:Endo,AIBS2019
Inh_L4-5_PVALB_MEPE,2,0.9532,0.7931410577762353,-1.280728144284676,UMI:Endo,AIBS2019
Inh_L4-5_SST_STK32A,2,0.9922,0.7082430900200938,-1.5732337774444647,UMI:Endo,AIBS2019
Inh_L4-6_PVALB_SULF1,2,0.9714,0.805428044481945,-1.660456436137516,UMI:Endo,AIBS2019
Inh_L4-6_SST_B3GAT2,2,0.9911,0.7432758838472191,-1.7389211640243154,UMI:Endo,AIBS2019
Inh_L4-6_SST_GXYLT2,2,0.9521,0.7535859468470584,-1.1298931446772096,UMI:Endo,AIBS2019
Inh_L5-6_GAD1_GLP1R,2,0.9958,0.6599969533126306,-1.7572612874128233,UMI:Endo,AIBS2019
Inh_L5-6_PVALB_LGR5,2,0.9975,0.6482511050229348,-1.7526712474031343,UMI:Endo,AIBS2019
Inh_L5-6_SST_KLHDC8A,2,0.9992,0.6263636868460817,-1.6806641207878201,UMI:Endo,AIBS2019
Inh_L5-6_SST_MIR548F2,2,1,0.6229547075940447,-2.1555505523521226,UMI:Endo,AIBS2019
Inh_L5-6_SST_NPM1P10,2,0.9576,0.7953809951541372,-1.121172621996079,UMI:Endo,AIBS2019
Inh_L5-6_SST_TH,2,0.8316,0.8217197704896881,-0.7739598511109226,UMI:Endo,AIBS2019
Micro_L1-3_TYROBP,2,0.5008,0.950178374347942,-0.12298720412611895,UMI:Endo,AIBS2019
OPC_L1-6_PDGFRA,2,0.97,0.6270291944734453,-1.3205771620755646,UMI:Endo,AIBS2019
Oligo_L1-6_OPALIN,2,0.9653,0.5373913104086158,-1.300991851715067,UMI:Endo,AIBS2019
Astro_L1-2_FGFR3_GFAP,2,1,0.3810782592528065,-3.743563040899163,UMI:Ex1,AIBS2019
Astro_L1-6_FGFR3_SLC14A1,2,1,0.3983952081365015,-4.323875768654984,UMI:Ex1,AIBS2019
Endo_L2-6_NOSTRIN,2,1,0.1702728291892276,-3.7526719932611283,UMI:Ex1,AIBS2019
Exc_L2-3_LINC00507_FREM3,2,0,2.1630759692601624,21.596945912628755,UMI:Ex1,AIBS2019
Exc_L2-4_LINC00507_GLP2R,2,0,2.1570884694218764,13.191499222600804,UMI:Ex1,AIBS2019
Exc_L2_LAMP5_LTK,2,0,2.398089471770193,20.37731103980025,UMI:Ex1,AIBS2019
Exc_L3-4_RORB_CARM1P1,2,0,1.6075533479515134,9.108253798419334,UMI:Ex1,AIBS2019
Exc_L3-5_RORB_COL22A1,2,0,1.4682252322820097,5.819582373661213,UMI:Ex1,AIBS2019
Exc_L3-5_RORB_ESR1,2,0,1.5904407342054436,9.399621465371215,UMI:Ex1,AIBS2019
Exc_L3-5_RORB_FILIP1L,2,0,1.690306787636922,11.086283180358436,UMI:Ex1,AIBS2019
Exc_L3-5_RORB_TWIST2,2,1e-4,1.6401182714877,7.094633368273502,UMI:Ex1,AIBS2019
Exc_L4-5_FEZF2_SCN4B,2,0,1.5457105463743919,6.67270887111805,UMI:Ex1,AIBS2019
Exc_L4-5_RORB_DAPK2,2,0,1.5072056015465845,6.222049883410588,UMI:Ex1,AIBS2019
Exc_L4-5_RORB_FOLH1B,2,0,1.5837637445023622,11.017579510032306,UMI:Ex1,AIBS2019
Exc_L4-6_FEZF2_IL26,2,0.2464,1.0603629874318947,0.5853064799250903,UMI:Ex1,AIBS2019
Exc_L4-6_RORB_C1R,2,0,1.46641195261941,7.169978403271403,UMI:Ex1,AIBS2019
Exc_L4-6_RORB_SEMA3E,2,0,1.509001315385987,9.946149289083051,UMI:Ex1,AIBS2019
Exc_L5-6_FEZF2_ABO,2,0,1.6084499757856148,9.348429085067536,UMI:Ex1,AIBS2019
Exc_L5-6_FEZF2_EFTUD1P1,2,0,1.5504963551920867,7.765833603733061,UMI:Ex1,AIBS2019
Exc_L5-6_RORB_TTC12,2,0,1.4903787899913192,6.530571240414241,UMI:Ex1,AIBS2019
Exc_L5-6_SLC17A7_IL15,2,0.0048,1.3517165631892483,3.6501569365359803,UMI:Ex1,AIBS2019
Exc_L5-6_THEMIS_C1QL3,2,0,1.9153020870850246,17.926321620036273,UMI:Ex1,AIBS2019
Exc_L5-6_THEMIS_CRABP1,2,0,1.5565832042450785,6.965375931425206,UMI:Ex1,AIBS2019
Exc_L5-6_THEMIS_DCSTAMP,2,0,1.5914381420454344,5.900866006308473,UMI:Ex1,AIBS2019
Exc_L5-6_THEMIS_FGF10,2,0,1.688816171917143,7.827365266899541,UMI:Ex1,AIBS2019
Exc_L6_FEZF2_OR2T8,2,2e-4,1.4441137876719194,4.993369412433874,UMI:Ex1,AIBS2019
Exc_L6_FEZF2_SCUBE1,2,0.0036,1.3869339415725415,3.7355369325094467,UMI:Ex1,AIBS2019
Inh_L1-2_GAD1_MC4R,2,0.2447,1.0510104029352643,0.4580214020142672,UMI:Ex1,AIBS2019
Inh_L1-2_LAMP5_DBP,2,0.0997,1.126562466135183,1.2977323195203967,UMI:Ex1,AIBS2019
Inh_L1-2_PAX6_CDH12,2,0.6893,0.9498289227663356,-0.5461390975571029,UMI:Ex1,AIBS2019
Inh_L1-2_PAX6_TNFAIP8L3,2,0.4911,0.9894363931552033,-0.10117094482262676,UMI:Ex1,AIBS2019
Inh_L1-2_SST_BAGE2,2,0.1642,1.0648909544285508,0.8798690431117236,UMI:Ex1,AIBS2019
Inh_L1-2_VIP_LBH,2,0.7774,0.9358807032211047,-0.720945680576479,UMI:Ex1,AIBS2019
Inh_L1-2_VIP_PCDH20,2,0.2335,1.0513725884124168,0.6450365026941486,UMI:Ex1,AIBS2019
Inh_L1-2_VIP_TSPAN12,2,0.4722,0.99964524786823,-0.004716922900042515,UMI:Ex1,AIBS2019
Inh_L1-3_PAX6_SYT6,2,0.8271,0.9068778281146301,-0.8733435689089926,UMI:Ex1,AIBS2019
Inh_L1-3_SST_CALB1,2,0.1238,1.0824412325893342,1.1512154200836924,UMI:Ex1,AIBS2019
Inh_L1-3_VIP_ADAMTSL1,2,0.3292,1.022956213754699,0.28328910816714997,UMI:Ex1,AIBS2019
Inh_L1-3_VIP_CCDC184,2,0.6968,0.9568054787838016,-0.5414066131852,UMI:Ex1,AIBS2019
Inh_L1-3_VIP_CHRM2,2,0.674,0.959969420258048,-0.4842467286870108,UMI:Ex1,AIBS2019
Inh_L1-3_VIP_GGH,2,0.5868,0.9568678147504539,-0.375006318084911,UMI:Ex1,AIBS2019
Inh_L1-4_LAMP5_LCP2,2,0.1621,1.063028671136217,0.8996371050104269,UMI:Ex1,AIBS2019
Inh_L1-4_VIP_CHRNA6,2,0.8422,0.9022744272011568,-0.9446725548936351,UMI:Ex1,AIBS2019
Inh_L1-4_VIP_OPRM1,2,0.3747,1.0140847058478377,0.16386234742533173,UMI:Ex1,AIBS2019
Inh_L1-4_VIP_PENK,2,0.8361,0.8967919187123091,-0.9397271145554765,UMI:Ex1,AIBS2019
Inh_L1_SST_CHRNA4,2,0.151,1.0847991275821853,0.9171390931994242,UMI:Ex1,AIBS2019
Inh_L1_SST_NMBR,2,0.0785,1.1027538409389153,1.4794968706468912,UMI:Ex1,AIBS2019
Inh_L2-3_VIP_CASC6,2,0.8524,0.9263760293636824,-0.9904748982230949,UMI:Ex1,AIBS2019
Inh_L2-4_PVALB_WFDC2,2,0.6095,0.9849321660213293,-0.29735300582139723,UMI:Ex1,AIBS2019
Inh_L2-4_SST_FRZB,2,0.2338,1.0427985431682398,0.5713107881346462,UMI:Ex1,AIBS2019
Inh_L2-4_VIP_CBLN1,2,0.1536,1.0818322337149653,0.9199139661510853,UMI:Ex1,AIBS2019
Inh_L2-4_VIP_SPAG17,2,0.5927,0.975417829355817,-0.29440285374569736,UMI:Ex1,AIBS2019
Inh_L2-5_PVALB_SCUBE3,2,0.4498,0.9934788730998863,-0.05397972762731864,UMI:Ex1,AIBS2019
Inh_L2-5_VIP_SERPINF1,2,0.3318,1.0230922705907501,0.20640665925298773,UMI:Ex1,AIBS2019
